file_id,filename,file_label,object_id,object_name
207672,207672.pdf,wuestungslisten_kl_A-L,203251,Pome
207673,207673.pdf,wuestungslisten_kl_M-Z,203251,Pome
255642,255642.pdf,1328-10b_pome,203251,Pome
255644,255644.pdf,1328-20b_pommersdorf-ost,203253,Pommersdorf Ost*
229607,229607.glb,1328-20b_Pommersdorf_Ost,203253,Pommersdorf Ost*
212522,212522.png,1328-20b_Pommersdorf_Ost,203253,Pommersdorf Ost*
207673,207673.pdf,wuestungslisten_kl_M-Z,203255,Pongaran
255645,255645.pdf,1329-10b_pongaran,203255,Pongaran
207673,207673.pdf,wuestungslisten_kl_M-Z,203257,Ponhalmshof
255649,255649.pdf,1330-10b_ponhalmshof,203257,Ponhalmshof
207673,207673.pdf,wuestungslisten_kl_M-Z,203259,Ponke
255656,255656.pdf,1331-10b_ponke,203259,Ponke
207673,207673.pdf,wuestungslisten_kl_M-Z,203261,Poppenschlag
255657,255657.pdf,1332-10b_poppenschlag,203261,Poppenschlag
207673,207673.pdf,wuestungslisten_kl_M-Z,203263,Popenberg
255658,255658.pdf,1333-10b_popenberg,203263,Popenberg
207673,207673.pdf,wuestungslisten_kl_M-Z,203267,Porez
255669,255669.pdf,1334-10b_porez,203267,Porez
207673,207673.pdf,wuestungslisten_kl_M-Z,203269,Porolden
255672,255672.pdf,1335-10b_porolden,203269,Porolden
207673,207673.pdf,wuestungslisten_kl_M-Z,203271,Portz
255678,255678.pdf,1336-10b_portz,203271,Portz
208903,208903.pdf,19741026_Protokoll Exkursion,203273,Porz
207673,207673.pdf,wuestungslisten_kl_M-Z,203273,Porz
207603,207603.pdf,Schutzbier_Wüstungen begangen_geschwärzt,203273,Porz
255697,255697.pdf,1337-10b_porz_geschwärzt,203273,Porz
215025,215025.pdf,19741026_Planung Exkursion,203273,Porz
215463,215463.pdf,Aufstellung Leistungen der Außenmitarbeiter (Stand 19.4.1975),203273,Porz
207673,207673.pdf,wuestungslisten_kl_M-Z,203275,Porze
255706,255706.pdf,1338-10b_porze,203275,Porze
207673,207673.pdf,wuestungslisten_kl_M-Z,203277,Pösenfurte
255707,255707.pdf,1339-10b_poesenfurte,203277,Pösenfurte
207673,207673.pdf,wuestungslisten_kl_M-Z,203279,Pöstorf
255708,255708.pdf,1340-10b_poestorf,203279,Pöstorf
207807,207807.pdf,19750313_Besprechungsprotokoll_Zelesnik_Strohschneider,203281,Potendorf
207807,207807.pdf,19750313_Besprechungsprotokoll_Zelesnik_Strohschneider,203281,Potendorf
207807,207807.pdf,19750313_Besprechungsprotokoll_Zelesnik_Strohschneider,203281,Potendorf
207680,207680.pdf,Zelesnik_Wüstungen begangen_geschwärzt,203281,Potendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203281,Potendorf
212524,212524.png,1341-10b_Potendorf_skz_01,203281,Potendorf
255715,255715.pdf,1341-10b_potendorf_geschwärzt,203281,Potendorf
215463,215463.pdf,Aufstellung Leistungen der Außenmitarbeiter (Stand 19.4.1975),203281,Potendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203283,Potenburg
255716,255716.pdf,1342-10b_pottenburg_geschwärzt,203283,Potenburg
229941,229941.glb,1342-20b_Potenburg_Dörfflein,203283,Potenburg
212525,212525.png,1342-10b_Potenburg_Dörfflein,203283,Potenburg
207673,207673.pdf,wuestungslisten_kl_M-Z,203286,Pougen
255723,255723.pdf,1343-10b_pougen,203286,Pougen
207673,207673.pdf,wuestungslisten_kl_M-Z,203288,Pousendorf
255724,255724.pdf,1344-10b_pousendorf,203288,Pousendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203290,Praetenmos
255725,255725.pdf,1345-10b_praeitenmos,203290,Praetenmos
212527,212527.png,1345-10b_Praeitenmos,203290,Praetenmos
207673,207673.pdf,wuestungslisten_kl_M-Z,203292,Praeuzslag
255729,255729.pdf,1346-10b_praeuzslag,203292,Praeuzslag
207673,207673.pdf,wuestungslisten_kl_M-Z,203294,Praitenlebarn
255730,255730.pdf,1347-10b_praitenlebarn,203294,Praitenlebarn
255732,255732.pdf,1347-20b_praitenrar,203296,Praitenrar
212528,212528.png,1347-20b_Praitenrar,203296,Praitenrar
207673,207673.pdf,wuestungslisten_kl_M-Z,203298,Prantstetn
255735,255735.pdf,1348-10b_prantstetn,203298,Prantstetn
207673,207673.pdf,wuestungslisten_kl_M-Z,203300,Pratum
255738,255738.pdf,1349-10b_pratum,203300,Pratum
207673,207673.pdf,wuestungslisten_kl_M-Z,203302,Prawnslag
255742,255742.pdf,1350-10b_prawnslag,203302,Prawnslag
207673,207673.pdf,wuestungslisten_kl_M-Z,203304,Prechleinsperg
212533,212533.png,1351-10b_Prechleinsperg_skz_03,203304,Prechleinsperg
212532,212532.png,1351-10b_Prechleinsperg_skz_02,203304,Prechleinsperg
255747,255747.pdf,1351-10b_prechleinsperg,203304,Prechleinsperg
