parent_id,name,id,type,path,description,begin_from,begin_to,end_from,end_to,class,geometry,lon,lat,devill_endpoint,API_Endpoint
,Hag,200516,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0620-10b Hag,,,,,place,,,,https://devill.oegmn.or.at/entity/200516,https://thanados.openatlas.eu/api/entity/200516
,Hage curia,200518,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0621-10b Hage curia,,,,,place,,,,https://devill.oegmn.or.at/entity/200518,https://thanados.openatlas.eu/api/entity/200518
,Hagenhoie,200520,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0622-10b Hagenhoie,,,,,place,,,,https://devill.oegmn.or.at/entity/200520,https://thanados.openatlas.eu/api/entity/200520
,Hagepach,200522,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0623-10b Hagepach,,,,,place,,,,https://devill.oegmn.or.at/entity/200522,https://thanados.openatlas.eu/api/entity/200522
,Hagersdorf,200524,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0623-20b Hagersdorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200524,https://thanados.openatlas.eu/api/entity/200524
,Hagingruobe,200526,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0625-10b Hagingruobe,,,,,place,,,,https://devill.oegmn.or.at/entity/200526,https://thanados.openatlas.eu/api/entity/200526
,Hagles,200528,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0625-20b Hagles,,,,,place,,,,https://devill.oegmn.or.at/entity/200528,https://thanados.openatlas.eu/api/entity/200528
,Haid,200530,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0626-10b Haid,,,,,place,"{""type"":""Polygon"",""coordinates"":[[[16.081699133,48.379877111],[16.078995466,48.380083763],[16.078518033,48.380144334],[16.078389287,48.380204904],[16.078346372,48.380304667],[16.078394651,48.380725094],[16.078485847,48.381134829],[16.078544855,48.38123459],[16.078630686,48.381312974],[16.078737974,48.381362854],[16.078957915,48.381398483],[16.079285145,48.381398483],[16.080277562,48.381337914],[16.081736684,48.381245279],[16.082401872,48.381181147],[16.082616448,48.381138392],[16.082847118,48.381052883],[16.083034873,48.38096381],[16.08310461,48.380881863],[16.083120704,48.380789227],[16.083077788,48.380678776],[16.0829705,48.380539822],[16.082637906,48.38021203],[16.082482338,48.380069512],[16.082342863,48.379962622],[16.082198024,48.379902052],[16.08204782,48.379877111],[16.081870794,48.379869985],[16.081699133,48.379877111]]]}",48.380609299001975,16.080702749113918,https://devill.oegmn.or.at/entity/200530,https://thanados.openatlas.eu/api/entity/200530
,Haid,200532,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0627-10b Haid,,,,,place,,,,https://devill.oegmn.or.at/entity/200532,https://thanados.openatlas.eu/api/entity/200532
,"Haid, auf der",200534,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0628-10b Haid, auf der",,,,,place,,,,https://devill.oegmn.or.at/entity/200534,https://thanados.openatlas.eu/api/entity/200534
,Haidhof a.d. Haid,200536,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0629-10b Haidhof a.d. Haid,,,,,place,,,,https://devill.oegmn.or.at/entity/200536,https://thanados.openatlas.eu/api/entity/200536
,Haigart hof,200538,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0630-10b Haigart hof,,,,,place,,,,https://devill.oegmn.or.at/entity/200538,https://thanados.openatlas.eu/api/entity/200538
